"Variety","Block","SIZE","YIELD"
"A",1,28,28
"B",1,23,23
"C",1,27,27
"D",1,24,24
"E",1,30,30
"F",1,30,30
"A",2,202,202
"B",2,145,145
"C",2,188,188
"D",2,201,201
"E",2,202,202
"F",2,228,228
"A",3,22,22
"B",3,26,26
"C",3,24,24
"D",3,28,28
"E",3,26,26
"F",3,25,25
"A",4,165,165
"B",4,201,201
"C",4,185,185
"D",4,231,231
"E",4,178,178
"F",4,221,221
"A",5,27,27
"B",5,28,28
"C",5,27,27
"D",5,30,30
"E",5,26,26
"F",5,27,27
"A",6,191,191
"B",6,203,203
"C",6,185,185
"D",6,238,238
"E",6,198,198
"F",6,207,207
"A",7,19,19
"B",7,24,24
"C",7,28,28
"D",7,30,30
"E",7,29,29
"F",7,24,24
"A",8,134,134
"B",8,180,180
"C",8,220,220
"D",8,261,261
"E",8,226,226
"F",8,204,204
